ID,Year,Risk,LCS,Net Profit,Total Assets,Total Liabilites,Age,Sales,BookV,MarketV
AKPI,2015,0.00379,1,27644714000.00,2883143132000.00,1775577239000.00,1980,2017466511000.00,1107565893000.00,595000000000.00
APLI,2015,0.01683,2,1854274736.00,308620387248.00,87059306497.00,1992,260667211707.00,221561080751.00,97500000000.00
BRNA,2015,0.13310,5,440171662000.00,1820783911000.00,992869623000.00,1969,1278353442000.00,827914288000.00,554070000000.00
IGAR,2015,0.02280,3,51416184307.00,383936040590.00,73471782127.00,1975,677331846043.00,310464258463.00,217773808000.00
SIAP,2015,0.05749,1,-36848228295.00,277982362215.00,253767988281.00,1994,243495193479.00,24214373933.00,1992000000000.00
CPIN,2015,0.04750,2,1832598000000.00,24684915000000.00,6419646000000.00,1972,30107727000000.00,12561427000000.00,42634800000000.00
JPFA,2015,0.00942,3,524484000000.00,17159466000000.00,11049774000000.00,1971,25022913000000.00,6109692000000.00,6769432047850.00
MAIN,2015,0.07458,1,-62097227000.00,3962068064000.00,2143482767000.00,1997,4775014772000.00,1548585297000.00,3414093750000.00
SIPD,2015,0.09401,3,-362030918107.00,2246770166899.00,1512527888605.00,1985,2113148210101.00,734242278294.00,798244265000.00
TIRT,2015,0.05978,3,8862954752.00,779006839381.00,687989521590.00,1981,452409636158.00,91017317791.00,50588737500.00
FASW,2015,0.03436,2,-308896601295.00,6993634266969.00,4548288087745.00,1987,4959998929211.00,2445346179224.00,2577004338480.00
KBRI,2015,0.04975,1,-155746630931.00,1455931208462.00,934677601389.00,1978,241207422568.00,521253607073.00,434399786700.00
KDSI,2015,0.04019,1,11470563293.00,1177093668866.00,798172379792.00,1973,1713946192967.00,378921289074.00,77355000000.00
SPMA,2015,0.02313,3,-42597342144.00,2185464365772.00,1390005205106.00,1976,1621516334166.00,752677119911.00,153680805774.00
KRAH,2015,0.05725,1,-7624768157.00,533537626101.00,356965176950.00,1990,283205794372.00,176572449151.00,2126906100000.00
ASII,2015,0.02107,3,15613000000000.00,245435000000000.00,118902000000000.00,1957,184196000000000.00,126553000000000.00,242901318840000.00
AUTO,2015,0.03162,3,322701000000.00,14339110000000.00,4195684000000.00,1991,11723787000000.00,10143426000000.00,7711572800000.00
GJTL,2015,0.01871,2,-313326000000.00,17509505000000.00,12115363000000.00,1951,12970237000000.00,5349142000000.00,1846944000000.00
IMAS,2015,0.01718,2,-22489430531.00,24860957839497.00,18163865982392.00,1997,18099797832015.00,6697091857105.00,6539883444380.00
INDS,2015,0.03556,3,1933819152.00,2553928346219.00,634889428231.00,1978,1659505639261.00,1919038917988.00,229687398500.00
LPIN,2015,0.05067,2,-18173655308.00,324054785283.00,207564071081.00,1982,77790171689.00,116490714202.00,139187500000.00
HDTX,2015,0.03449,2,-355659019000.00,4878367904000.00,3482406080000.00,1973,1401541455000.00,1395961824000.00,3187294578000.00
MYTX,2015,0.05599,1,-263871000000.00,1944326000000.00,2512252000000.00,1987,1891190000000.00,-567926000000.00,74799995427.00
RICY,2015,0.00257,3,13465713464.00,1198193867892.00,798114824380.00,1987,1111051293008.00,400079043512.00,102033084090.00
SSTM,2015,0.00119,3,-10462177146.00,721884167684.00,477792694823.00,1972,506180498366.00,244091472861.00,60887277412.00
STAR,2015,0.00019,5,306885570.00,729020553284.00,239344544398.00,2008,258967329940.00,489676008886.00,240000030100.00
TRIS,2015,0.02341,3,37448445764.00,574346433075.00,245138356170.00,2004,859743472895.00,329208076905.00,313633897500.00
UNIT,2015,0.00055,1,385953128.00,460539382206.00,217565067467.00,1988,118260140704.00,242974314739.00,19609772000.00
BATA,2015,0.05056,4,129519446000.00,795257974000.00,248070766000.00,1931,1028850578000.00,547187208000.00,1170000000000.00
BIMA,2015,0.11693,3,-771373985.00,99558394760.00,301570909687.00,1988,222363830677.00,-202012514927.00,30100000000.00
AISA,2015,0.01408,2,373750000000.00,9060979000000.00,5094072000000.00,1990,6010895000000.00,3966907000000.00,3785606000000.00
ALTO,2015,0.01437,3,-24345726797.00,1180228072164.00,673255888637.00,1997,301781831914.00,506972183527.00,710621601950.00
CEKA,2015,0.02056,2,106549446980.00,1485826210015.00,845932695663.00,1968,3485733830354.00,639893514352.00,401625000000.00
DLTA,2015,0.06797,3,192045199000.00,1038321916000.00,188700435000.00,1970,699506819000.00,849621481000.00,4163427060000.00
ICBP,2015,0.00423,3,2923148000000.00,26560624000000.00,10173713000000.00,2009,31741094000000.00,16386911000000.00,78572105150000.00
INDF,2015,0.01042,3,3709501000000.00,91831526000000.00,48709933000000.00,1990,64061947000000.00,43121593000000.00,45438707137500.00
MLBI,2015,0.21674,3,496909000000.00,2100853000000.00,1334373000000.00,1929,2696318000000.00,766480000000.00,17277400000000.00
MYOR,2015,0.04794,3,1250233128560.00,11342715666221.00,6148255759034.00,1977,14818730635847.00,5194459927187.00,27277613664500.00
PSDN,2015,0.05230,1,-42619829577.00,620398854182.00,296079753266.00,1974,920352848084.00,324319100916.00,175680000000.00
ROTI,2015,0.00731,2,270538700440.00,2706323637034.00,1517788685162.00,1995,2174501712899.00,1188534951872.00,6403177000000.00
SKBM,2015,0.04424,2,40150568621.00,764484248710.00,420396809051.00,1973,1362245580664.00,764484248710.00,885021694830.00
SKLT,2015,0.00803,3,20066791849.00,377110748359.00,225066080248.00,1976,745107731208.00,152044668111.00,255573985000.00
STTP,2015,0.01269,2,185705201171.00,1919568037170.00,910758598913.00,1987,2544277844656.00,1008809438257.00,3949650000000.00
ULTJ,2015,0.02562,3,523100215029.00,3539995910248.00,742490216326.00,1971,4393932684171.00,2797505693922.00,11394666990000.00
GGRM,2015,0.00767,3,6452834000000.00,63505413000000.00,25497504000000.00,1971,70365573000000.00,38007909000000.00,105824840000000.00
HMSP,2015,0.06275,2,10363308000000.00,38010724000000.00,5994664000000.00,1963,89069306000000.00,32016060000000.00,437355969144000.00
RMBA,2015,0.02268,1,-856979000000.00,12667314000000.00,15816071000000.00,1987,16814352000000.00,-3148757000000.00,3692402550000.00
WIIM,2015,0.01174,2,131081111587.00,1342700045391.00,398991064485.00,1994,1839419574956.00,943708980906.00,902945716800.00
DVLA,2015,0.02055,3,107894430000.00,1376278237000.00,402860903000.00,1976,1306098136000.00,973517334000.00,1456000000000.00
INAF,2015,0.02574,2,6565707419.00,1533708564241.00,940999667498.00,1996,1621898667657.00,592708896744.00,520676940000.00
KAEF,2015,0.00486,3,252972506074.00,3236224076311.00,1374127253841.00,1971,4860371483524.00,1862096822470.00,4831980000000.00
KLBF,2015,0.01293,3,2057694281873.00,13696417381439.00,2758131396170.00,1966,17887464223321.00,10938285985269.00,61875161185200.00
MERK,2015,0.01753,3,142545462000.00,641646818000.00,168103536000.00,1970,983446471000.00,473543282000.00,392046668925.00
PYFA,2015,0.01060,3,3087104465.00,159951537229.00,58729478032.00,1976,217843921422.00,101222059197.00,59928960000.00
SIDO,2015,0.00000,3,437475000000.00,2796111000000.00,197197000000.00,1975,2218536000000.00,2598314000000.00,8250000000000.00
TSPC,2015,0.01704,3,529218651807.00,6284729099203.00,1947588124083.00,1970,8181481867179.00,4337140975120.00,7875000000000.00
ADES,2015,0.04099,2,32839000000.00,653224000000.00,324855000000.00,1985,669725000000.00,328369000000.00,598745252000.00
MBTO,2015,0.02408,2,-14056549894.00,648899377240.00,214685781274.00,1977,694782752351.00,434213595966.00,149800000000.00
MRAT,2015,0.01507,1,1045990311.00,497090038108.00,120064018299.00,1978,428092732505.00,377026019809.00,89024000000.00
TCID,2015,0.09260,5,544474278014.00,2082096848703.00,367225370670.00,1969,2314889854074.00,1714871478033.00,3317600005500.00
UNVR,2015,0.01698,3,5851805000000.00,15729945000000.00,10902585000000.00,1933,36484030000000.00,4827360000000.00,282310000000000.00
KICI,2015,0.09289,1,-13000883220.00,133831888816.00,40460281468.00,1974,91734724118.00,93371607348.00,34500000000.00
LMPI,2015,0.01061,3,3968046308.00,793093512600.00,391881675091.00,1972,452693585202.00,793093512600.00,113962496597.00
INTP,2014,0.01407,3,5274009000000.00,28884973000000.00,4100172000000.00,1985,19996264000000.00,24784801000000.00,92030792475000.00
SMBR,2014,0.07818,3,328336316000.00,2926360857000.00,209113746000.00,1974,1214914932000.00,2717247111000.00,3748155508500.00
SMCB,2014,0.03662,2,668869000000.00,17199304000000.00,8436760000000.00,1971,10528723000000.00,8758592000000.00,16743436500000.00
SMGR,2014,0.01159,3,5567659839000.00,34331674737000.00,9326744733000.00,1953,26987035135000.00,25004930004000.00,96090624000000.00
WTON,2014,0.43132,2,322403851254.00,3802658881174.00,1576555487820.00,1997,3277195052159.00,2225777452338.00,11330106580000.00
AMFG,2014,0.01133,3,464152000000.00,3946125000000.00,880052000000.00,1971,3672186000000.00,3101440000000.00,3493700000000.00
ARNA,2014,0.02267,3,261651053219.00,1259938133543.00,346944901743.00,1993,1609758677687.00,912230541132.00,6387044949120.00
IKAI,2014,0.01967,4,-26511071474.00,518546655125.00,339889432972.00,1991,262321356543.00,178657222154.00,93383286748.00
KIAS,2014,0.00999,3,118732268918.00,2352542603065.00,235745579997.00,1968,898976979994.00,2116797023068.00,2194577700000.00
MLIA,2014,0.04315,4,125013335000.00,7215152320000.00,5894580221000.00,1986,5629696723000.00,1321572099000.00,694575000000.00
TOTO,2014,0.00974,3,293803908949.00,2027288639678.00,796096371054.00,1977,2053630374083.00,1231192322624.00,3926223360000.00
ALKA,2014,0.01828,1,2659254000.00,244879397000.00,181643493000.00,1972,1230364713000.00,63235904000.00,91379709900.00
ALMI,2014,0.00465,1,1948963064.00,3212438981224.00,2571403202989.00,1978,3336087554837.00,641035778235.00,165088000000.00
BAJA,2014,0.06378,1,14077852427.00,974632970453.00,786309001839.00,1993,1229844640405.00,188323968614.00,534600000000.00
BTON,2014,0.06744,5,7630330090.00,174157547015.00,27517328111.00,1995,96008496750.00,146640218904.00,97200000000.00
GDST,2014,0.04387,2,-13938294977.00,1354622569945.00,484174854654.00,1989,1215611781842.00,870447715291.00,844600000000.00
INAI,2014,0.01570,3,22058700759.00,897281657710.00,751439553825.00,1971,933462438255.00,145842103885.00,110880000000.00
ISSP,2014,0.00000,2,214895000000.00,0.00,3117249000000.00,1971,3367873000000.00,2325909000000.00,1710266104330.00
JKSW,2014,0.01615,5,-9631890621.00,302951001725.00,720387262240.00,1974,86480258028.00,-417436260515.00,10200000000.00
JPRS,2014,0.03033,5,-6930478877.00,370967708751.00,15334844453.00,1973,313636426234.00,355632864298.00,181500000000.00
LION,2014,0.05790,2,49001630102.00,600102716315.00,156123759272.00,1972,377622622150.00,443978957043.00,48374880000.00
LMSH,2014,0.14292,3,7403115436.00,139915598255.00,23964388443.00,1982,249072012369.00,115951209812.00,6192000000.00
PICO,2014,0.00383,3,16153616369.00,626626507164.00,395525304553.00,1983,604332286638.00,231101202611.00,90940000000.00
BUDI,2014,0.00793,2,28499000000.00,2476982000000.00,1563631000000.00,1979,2284211000000.00,913351000000.00,438592717734.00
DPNS,2014,0.10662,3,14519866284.00,268877322944.00,32794800672.00,1982,132775925237.00,236082522272.00,116888873056.00
EKAD,2014,0.01655,2,40756078282.00,411348790570.00,138149558606.00,1981,526573620057.00,273199231964.00,359869125000.00
ETWA,2014,0.07691,2,-142136321265.00,1331049053223.00,1029096728617.00,1992,1000086695089.00,301952324606.00,251757220000.00
INCI,2014,0.02403,5,11028221012.00,147992617351.00,10872710103.00,1981,110023088698.00,137119907248.00,43086462328.00
SRSN,2014,0.00554,2,14456260000.00,463347124000.00,134510685000.00,1982,472834591000.00,328836439000.00,301000000000.00
AKKU,2014,0.11942,5,-5945039944.00,90674071077.00,86809201934.00,2001,4261435256.00,3864869143.00,77165000000.00
AKPI,2014,0.00129,3,34690704000.00,2227042590000.00,1191196937000.00,1980,1945383031000.00,1035845653000.00,564400000000.00
APLI,2014,0.01526,3,9626571647.00,273126657794.00,47868731692.00,1992,294081114204.00,225257926102.00,121500000000.00
BRNA,2014,0.04146,3,56998824000.00,1334085916000.00,967711101000.00,1969,1258841240000.00,366374815000.00,486450000000.00
IGAR,2014,0.02331,3,54898874758.00,349894783575.00,86443556430.00,1975,737863227409.00,263451227145.00,306244417500.00
SIAP,2014,0.03531,2,-15758621856.00,302759429212.00,242527014044.00,1994,189724491714.00,60232415168.00,2022750000000.00
CPIN,2014,0.06696,2,1746644000000.00,20862439000000.00,9919150000000.00,1972,29150275000000.00,10943289000000.00,61984440000000.00
JPFA,2014,0.03776,3,384846000000.00,15730435000000.00,10440441000000.00,1971,24458880000000.00,5289994000000.00,10127496764500.00
MAIN,2014,0.09839,1,-84841276000.00,3530183618000.00,2449714632000.00,1997,4502078127000.00,1080468986000.00,3814830000000.00
SIPD,2014,0.00191,4,2064055454.00,2800914553878.00,1513908338484.00,1985,2505575102503.00,1287006215394.00,4977287501290.00
TIRT,2014,0.05933,5,37414286693.00,669092975225.00,572664846535.00,1981,461797534872.00,96428128689.00,87012628500.00
FASW,2014,0.03090,3,86745854950.00,5581000723345.00,3936322827206.00,1987,5456935920101.00,1644677896139.00,4088516498550.00
KBRI,2014,0.04213,1,-17526287252.00,1299315036743.00,622269749157.00,1978,34719548322.00,677045287586.00,434399786700.00
KDSI,2014,0.02368,1,85392670351.00,952177443047.00,555679416109.00,1973,1626232662544.00,396498026938.00,147420000000.00
SPMA,2014,0.02142,2,48602721399.00,2091957078669.00,1287357023670.00,1976,1550810295608.00,804600054999.00,293933191626.00
KRAH,2014,0.01811,1,31736104237.00,479240512199.00,292564821530.00,1990,286048380773.00,186675690669.00,786663900000.00
ASII,2014,0.01579,3,22125000000000.00,236029000000000.00,115705000000000.00,1957,201701000000000.00,120324000000000.00,300590382064500.00
AUTO,2014,0.03165,2,956409000000.00,14380926000000.00,4244369000000.00,1991,12255427000000.00,10136557000000.00,20242878600000.00
GJTL,2014,0.04352,2,296868000000.00,16042897000000.00,10059605000000.00,1951,13070734000000.00,5983292000000.00,4965840000000.00
IMAS,2014,0.02709,2,-67093347900.00,23471397834920.00,16744375200010.00,1997,19458165173088.00,6727022634910.00,11061113648000.00
INDS,2014,0.01232,3,127657349869.00,2282666078493.00,454347526616.00,1978,1866977260105.00,1828318551877.00,1049999536000.00
LPIN,2014,0.05943,5,-4130648465.00,185595748325.00,46315786933.00,1982,70155464867.00,139279961392.00,132812500000.00
HDTX,2014,0.04847,1,-105481256786.00,4221696886907.00,3607059196611.00,1973,1175464356704.00,614637690296.00,597702690000.00
MYTX,2014,0.02911,1,-158271000000.00,2041304000000.00,2310084000000.00,1987,2129058000000.00,-268780000000.00,187733321856.00
RICY,2014,0.00618,2,15111531641.00,1170752414106.00,774439342861.00,1987,1185443580242.00,396313081245.00,111658846740.00
SSTM,2014,0.00052,3,-12840297828.00,773663346934.00,514793507583.00,1972,519854661831.00,258869839351.00,120603645643.00
STAR,2014,0.00039,1,348916778.00,775917827931.00,285744500913.00,2008,228622027943.00,490173327018.00,240000030100.00
TRIS,2014,0.02726,2,35944155042.00,523900642605.00,214390227222.00,2004,746828922732.00,309510415383.00,371508436900.00
UNIT,2014,0.00047,5,396296296.00,440727374151.00,199073815553.00,1988,102448044300.00,241653558598.00,23984259600.00
BATA,2014,0.02781,3,70781440000.00,774891087000.00,345775482000.00,1931,1008727515000.00,429115605000.00,1436500000000.00
BIMA,2014,0.11974,3,10048996788.00,104058578348.00,297977547605.00,1988,286688094220.00,-193918969257.00,60200000000.00
AISA,2014,0.00942,2,378134000000.00,7371846000000.00,3779017000000.00,1990,5139974000000.00,3592829000000.00,6554417000000.00
ALTO,2014,0.01335,1,-10135298976.00,1239053626858.00,706402717818.00,1997,332402373397.00,532650909040.00,769657777504.00
CEKA,2014,0.01564,1,41001414954.00,1284150037341.00,746598865219.00,1968,3701868790192.00,537551172122.00,223125000000.00
DLTA,2014,0.01377,3,288073432000.00,991947134000.00,227473881000.00,1970,879253383000.00,764473253000.00,6245140590000.00
ICBP,2014,0.01438,3,2531681000000.00,24910211000000.00,9870264000000.00,2009,30022463000000.00,15039947000000.00,76385497400000.00
INDF,2014,0.01845,2,5146323000000.00,85938885000000.00,44710509000000.00,1990,63594452000000.00,41228376000000.00,59267878875000.00
MLBI,2014,0.16404,3,794883000000.00,2231051000000.00,1677254000000.00,1929,2988501000000.00,553797000000.00,25178650000000.00
MYOR,2014,0.04310,1,280369916242.00,10544129339088.00,6161636110330.00,1977,3456375356421.00,4382491228758.00,18691872970100.00
PSDN,2014,0.04617,3,-28175252332.00,620928440332.00,242353749501.00,1974,975081057089.00,378574690831.00,205920000000.00
ROTI,2014,0.02105,2,188577521074.00,2142894276216.00,1182771921472.00,1995,1880262901697.00,960122354744.00,7010593000000.00
SKBM,2014,0.04907,2,89115994107.00,649534031113.00,331624254750.00,1973,1480764903724.00,317909960109.00,908434967180.00
SKLT,2014,0.00907,3,16480714984.00,331574891637.00,178206785017.00,1976,681419524161.00,153368106620.00,207222150000.00
STTP,2014,0.00934,2,123465403938.00,1700204093895.00,882610280834.00,1987,2170464194350.00,817593813061.00,3772800000000.00
ULTJ,2014,0.02467,3,283360914211.00,2917083567355.00,651985807625.00,1971,3916789366423.00,2265097759730.00,10744781040000.00
GGRM,2014,0.00584,2,5395293000000.00,58220600000000.00,24991880000000.00,1971,65185850000000.00,33228720000000.00,116792141600000.00
HMSP,2014,0.01806,3,10181083000000.00,28380630000000.00,14882516000000.00,1963,80690139000000.00,13498114000000.00,298714599000000.00
RMBA,2014,0.03341,1,-944454000000.00,10821467000000.00,12102506000000.00,1987,14489473000000.00,-1281039000000.00,3764802600000.00
WIIM,2014,0.02184,2,112304822060.00,1332907675785.00,478482577195.00,1994,1661533200316.00,854425098590.00,1312421100000.00
DVLA,2014,0.03661,3,80929476000.00,1236247525000.00,273816042000.00,1976,1103821775000.00,962431483000.00,1892800000000.00
INAF,2014,0.03884,3,1164824606.00,1248343275406.00,656380082912.00,1996,1381436578115.00,591963192495.00,1100239962500.00
KAEF,2014,0.00978,2,236531070864.00,2968184626297.00,1157040676384.00,1971,4521024379759.00,1811143949913.00,8136610000000.00
KLBF,2014,0.00943,3,2121090581630.00,12425032367729.00,2607556689283.00,1966,17368532547558.00,9817475678446.00,85781473461300.00
MERK,2014,0.03648,3,181472234000.00,716559526000.00,162908670000.00,1970,863207535000.00,553690856000.00,3584000000000.00
PYFA,2014,0.01274,3,2657665405.00,172736624689.00,76177686068.00,1976,222302407528.00,96558938621.00,72235800000.00
SIDO,2014,0.00000,3,415193000000.00,2821399000000.00,186740000000.00,1975,2197907000000.00,2634659000000.00,9150000000000.00
TSPC,2014,0.01639,3,584293062124.00,5592730492960.00,1460391494410.00,1970,7512115037587.00,4132338998550.00,12892500000000.00
ADES,2014,0.07672,3,31021000000.00,504865000000.00,209066000000.00,1985,578784000000.00,295799000000.00,811108100000.00
MBTO,2014,0.03581,5,2925070199.00,619383082066.00,165633948162.00,1977,671398849823.00,453749133904.00,214000000000.00
MRAT,2014,0.04190,1,7371973842.00,498786376745.00,114841797856.00,1978,434747101600.00,383944578889.00,149800000000.00
TCID,2014,0.01266,2,174314394101.00,1853235343636.00,569730901368.00,1969,2308203551971.00,1283504442268.00,3523693339175.00
UNVR,2014,0.00142,3,5738523000000.00,14280670000000.00,9681888000000.00,1933,34511534000000.00,4598782000000.00,246449000000000.00
KICI,2014,0.02585,3,4703508241.00,96745744221.00,18065657377.00,1974,102971318497.00,78680086844.00,36984000000.00
LMPI,2014,0.00990,3,1710590575.00,808892238344.00,409761454151.00,1972,513547309970.00,399130784193.00,176490592075.00
INTP,2013,0.01048,3,5012294000000.00,26607241000000.00,3629554000000.00,1985,18691286000000.00,22977687000000.00,73624633980000.00
SMBR,2013,0.07939,2,312183836000.00,2711416335000.00,244459581000.00,1974,1168607832000.00,2466956754000.00,3246433905000.00
SMCB,2013,0.02419,2,952305000000.00,14897220000000.00,6122043000000.00,1971,9686262000000.00,8772947000000.00,17433097500000.00
SMGR,2013,0.01381,3,5354298521000.00,30833102777000.00,8988908217000.00,1953,24501240780000.00,21803975875000.00,83931008000000.00
WTON,2013,0.43310,2,2412016242000.00,2917400751000.00,2187382982000.00,1997,2643724434000.00,730017770000.00,0.00
AMFG,2013,0.01483,3,338378000000.00,3539393000000.00,778666000000.00,1971,3216480000000.00,2760727000000.00,3038000000000.00
ARNA,2013,0.04716,3,237697913883.00,1135244802060.00,366754918531.00,1993,1417640229330.00,768489883529.00,6019973400320.00
IKAI,2013,0.00743,4,-43088025688.00,482057048870.00,276648973235.00,1991,211523292543.00,205408075635.00,110793730040.00
KIAS,2013,0.02485,3,75360306268.00,2270904910518.00,223804349608.00,1968,910845835792.00,2047100560910.00,2314010500000.00
MLIA,2013,0.03494,4,-474045653000.00,7189899445000.00,5999787094000.00,1986,5197009630000.00,1190112351000.00,562275000000.00
TOTO,2013,0.01408,3,236557513162.00,1746177682568.00,710527268893.00,1977,1711306783682.00,1035650413675.00,1901687040000.00
ALKA,2013,0.02198,1,-315494000.00,241912806000.00,182253663000.00,1972,1099620270000.00,59659143000.00,60919806600.00
ALMI,2013,0.00565,1,26118732307.00,2752078229707.00,2094736673254.00,1978,2871313447075.00,657341556453.00,92400000000.00
BAJA,2013,0.06659,3,-77122673610.00,842928433004.00,668682316817.00,1993,1052131125561.00,174246116187.00,1998000000000.00
BTON,2013,0.01194,5,25882922986.00,176136296407.00,37318882613.00,1995,113547870414.00,138817413794.00,99000000000.00
GDST,2013,0.03117,5,91885687801.00,1191496619152.00,307084100134.00,1989,1410117393010.00,884412519018.00,705200000000.00
INAI,2013,0.02177,3,5019540731.00,765881409376.00,639563606250.00,1971,640702671875.00,126317803126.00,47520000000.00
ISSP,2013,0.00000,2,203561000000.00,0.00,2459118000000.00,1971,3534018000000.00,1934459000000.00,1034782853040.00
JKSW,2013,0.02515,5,-7968797416.00,262386019471.00,670190389365.00,1974,91708035390.00,-407804389365.00,14700000000.00
JPRS,2013,0.03219,5,15045492572.00,376540741943.00,14019207792.00,1973,195247201170.00,362521534151.00,202500000000.00
LION,2013,0.03542,3,64761350816.00,498567897161.00,88783559318.00,1972,333674349966.00,415784337843.00,62419200000.00
LMSH,2013,0.21724,2,14382899194.00,141697598705.00,31229504329.00,1982,256210760822.00,110468094376.00,7680000000.00
PICO,2013,0.00308,1,15439372429.00,621400236614.00,406365304333.00,1983,684448835016.00,215034932281.00,88098125000.00
BUDI,2013,0.01377,3,42886000000.00,2382875000000.00,1497754000000.00,1979,2568954000000.00,885121000000.00,446790712458.00
DPNS,2013,0.14958,5,66813230321.00,256372669050.00,32994704261.00,1982,131333196189.00,223427964789.00,155631077440.00
EKAD,2013,0.01163,2,39450652821.00,343601504089.00,105893942734.00,1981,418668758096.00,237707561355.00,272522250000.00
ETWA,2013,0.05710,1,7911201004.00,1291711270379.00,846050835530.00,1992,1206066005447.00,445660434849.00,353428405000.00
INCI,2013,0.11279,2,10331808096.00,136142063219.00,10050376983.00,1981,81244267131.00,126091686236.00,43448533440.00
SRSN,2013,0.01534,3,15994295000.00,420782548000.00,106406914000.00,1982,392315526000.00,314375634000.00,301000000000.00
AKKU,2013,0.37069,3,-1460331413.00,45208352407.00,42758443320.00,2001,6319113328.00,2449909087.00,70150000000.00
AKPI,2013,0.01002,1,34620336000.00,2084567189000.00,1055230963000.00,1980,1663385190000.00,1029336226000.00,550800000000.00
APLI,2013,0.02306,3,1881586263.00,303594490546.00,85871301621.00,1992,281551386863.00,217723188925.00,97500000000.00
BRNA,2013,0.04634,3,-12219421000.00,1125132715000.00,819251536000.00,1969,960999965000.00,305881179000.00,313950000000.00
IGAR,2013,0.02275,3,35030416158.00,314746644499.00,89003869709.00,1975,643403327263.00,225742774790.00,286800327500.00
SIAP,2013,0.02333,1,-5779119179.00,272597818158.00,172583639412.00,1994,245690436569.00,100014178746.00,369750000000.00
CPIN,2013,0.05312,2,2528690000000.00,15722197000000.00,5771297000000.00,1972,25662992000000.00,9590900000000.00,55343250000000.00
JPFA,2013,0.02785,2,640637000000.00,14917590000000.00,9672368000000.00,1971,21412085000000.00,5245222000000.00,13005837950200.00
MAIN,2013,0.03083,2,241632645000.00,2214398692000.00,1351915503000.00,1997,4193082465000.00,862483189000.00,5381625000000.00
SIPD,2013,0.00319,2,8377508652.00,3155680394480.00,1870560118674.00,1985,3854271748057.00,1285120275806.00,4695554246500.00
TIRT,2013,0.02736,1,-39709507051.00,636022602621.00,570439822251.00,1981,356017629271.00,65582780370.00,52612287000.00
FASW,2013,0.03570,3,-249057875558.00,5692060407681.00,4134128366492.00,1987,4960825518081.00,1557932041189.00,5017724793675.00
KBRI,2013,0.04493,1,-24216555605.00,788749190752.00,95512957713.00,1978,11868785724.00,693236233039.00,434399786700.00
KDSI,2013,0.01348,2,36002772194.00,850233842186.00,498224954613.00,1973,1386314584485.00,352008887573.00,139725000000.00
SPMA,2013,0.02091,3,-23856512660.00,1767105818949.00,1011571248744.00,1976,1395838227179.00,755534570205.00,313329798180.00
KRAH,2013,0.04505,1,31763813704.00,329229682963.00,174290096531.00,1990,307864659331.00,154939586432.00,281645100000.00
ASII,2013,0.01671,3,22297000000000.00,213994000000000.00,107806000000000.00,1957,193880000000000.00,106188000000000.00,275288161352000.00
AUTO,2013,0.03737,2,1058015000000.00,12617678000000.00,3058924000000.00,1991,10701988000000.00,9558754000000.00,17592025450000.00
GJTL,2013,0.04059,2,120330000000.00,15350754000000.00,9626411000000.00,1951,12352917000000.00,5724343000000.00,5854464000000.00
IMAS,2013,0.02367,1,621139761829.00,22315022507630.00,15655152396933.00,1997,20094736395135.00,6659870110697.00,13549864218800.00
INDS,2013,0.01953,2,147608449013.00,2196518364473.00,443652749965.00,1978,1702447098851.00,1752865614508.00,1123500000000.00
LPIN,2013,0.02642,4,8554996356.00,196390816224.00,52980206367.00,1982,77231127337.00,143410609857.00,102531250000.00
HDTX,2013,0.05911,2,-218654504263.00,2378728273722.00,1658609326640.00,1973,1057343006058.00,720118947082.00,636016965000.00
MYTX,2013,0.02541,2,-49786983213.00,2095467423419.00,2199024993140.00,1987,1900301509218.00,-103557569721.00,447333305985.00
RICY,2013,0.00679,1,8720546989.00,1109865329758.00,728675060830.00,1987,984185102135.00,381190268929.00,111017129230.00
SSTM,2013,0.00671,3,-13228135718.00,801866397035.00,530156259856.00,1972,573748747725.00,271710137179.00,92501825299.00
STAR,2013,0.00153,3,569455861.00,749402740231.00,259578391395.00,2008,274141734113.00,489824348836.00,240000000000.00
TRIS,2013,0.00702,2,48195237468.00,449008821261.00,166702353369.00,2004,670290947164.00,282306467893.00,401039200000.00
UNIT,2013,0.00488,2,831855726.00,459118935528.00,217861673225.00,1988,101886214646.00,241257262302.00,18855550000.00
BATA,2013,0.02940,3,44373679000.00,680685060000.00,283831895000.00,1931,902459209000.00,396853165000.00,1378000000000.00
BIMA,2013,0.09426,3,-16149760144.00,118007059098.00,321975025143.00,1988,279150207182.00,-203967966045.00,60200000000.00
AISA,2013,0.01486,1,346728000000.00,5020824000000.00,2664051000000.00,1990,4056735000000.00,2356773000000.00,4179318000000.00
ALTO,2013,0.00000,1,12058794054.00,1502519389759.00,960189991593.00,1997,487200477334.00,542329398759.00,1245258050790.00
CEKA,2013,0.03364,5,65058958558.00,1069627299747.00,541352365829.00,1968,2531881182546.00,528274933918.00,172550000000.00
DLTA,2013,0.04862,3,270498062000.00,867040802000.00,190482809000.00,1970,867066542000.00,676557993000.00,6085008780000.00
ICBP,2013,0.01595,2,2235040000000.00,21267470000000.00,8001739000000.00,2009,25094681000000.00,13265731000000.00,59475730800000.00
INDF,2013,0.02493,2,3416635000000.00,78092789000000.00,39719660000000.00,1990,57531998000000.00,38373129000000.00,57950814900000.00
MLBI,2013,0.14626,3,1171229000000.00,1782148000000.00,794615000000.00,1929,3561989000000.00,987533000000.00,252840000000000.00
