ID,Year,Risk,LCS,Net Profit,Total Assets,Total Liabilites,Age,Sales,BookV,MarketV
LPIN,2017,0.46989,5,191977703453.00,268116498330.00,36654665747.00,1982,102949173758.00,231461832583.00,133875000000.00
HDTX,2017,0.04516,1,-847049209.00,4035086385000.00,3701551196000.00,1973,1293363942000.00,333535189000.00,1786325548800.00
MYTX,2017,0.06923,5,-286485000000.00,3458737000000.00,3109652000000.00,1987,1640409000000.00,349085000000.00,203866654203.00
RICY,2017,0.00059,3,16558562696.00,1374444788282.00,944179416586.00,1987,1600432168098.00,430265371696.00,96257626500.00
SSTM,2017,0.01267,3,-23709833744.00,605643301307.00,393177629585.00,1972,343842837211.00,212465671723.00,444945488780.00
STAR,2017,0.00027,5,594726798.00,614705038056.00,124422750504.00,2008,114496159735.00,490282287552.00,475200059598.00
TRIS,2017,0.01990,3,14198889550.00,544968319987.00,188736733204.00,2004,773806956330.00,356231586783.00,322657043016.00
UNIT,2017,0.00085,5,1062124056.00,426384622878.00,181126294572.00,1988,103245048266.00,245258328306.00,17196261600.00
BATA,2017,0.06099,3,53654376000.00,855691231000.00,276382503000.00,1931,974536083000.00,579308728000.00,741000000000.00
BIMA,2017,0.11030,3,15795652032.00,89327328853.00,173964702574.00,1988,153713878373.00,-84637373721.00,41964124404.00
AISA,2017,0.09220,2,-846809000000.00,8724734000000.00,5319855000000.00,1990,4920632000000.00,3404879000000.00,1489213600000.00
ALTO,2017,0.02022,2,-62849581665.00,1109383971111.00,690099182411.00,1997,262143990839.00,419284788700.00,850445776504.00
CEKA,2017,0.05632,3,107420886839.00,1392636444501.00,489592257434.00,1968,4257738486908.00,903044187067.00,767550000000.00
DLTA,2017,0.01491,3,279772635000.00,1340842765000.00,196197372000.00,1970,777308328000.00,1144645393000.00,3675025039500.00
ICBP,2017,0.00848,3,3543173000000.00,31619514000000.00,11295000000.00,2009,35606593000000.00,20324330000000.00,103790981200000.00
INDF,2017,0.01239,3,5145063000000.00,87939488000000.00,41182764000000.00,1990,70186618000000.00,46756724000000.00,66950752062500.00
MLBI,2017,0.14794,3,1322067000000.00,2510078000000.00,1445173000000.00,1929,3389736000000.00,1064905000000.00,28813225000000.00
